,id,Publication Title,Title,Abbreviation,Publication Type,"Subject Area, Categories, Scope",h-index,Overall Rank/Ranking,SCImago Journal Rank (SJR),Impact Score,Publisher,Country,ISSN
0,165,JOURNAL OF GEOVISUALIZATION AND SPATIAL ANALYSIS,Journal of Geovisualization and Spatial Analysis ,-1,Journal,"Computers in Earth Sciences (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Geography, Planning and Development (Q1)",15,4000,1.016,4.38,Springer Nature Switzerland AG,Switzerland,25098829
1,166,REGIONAL ENVIRONMENTAL CHANGE,Regional Environmental Change ,Reg. Environ. Change,Journal,Global and Planetary Change (Q2),72,3297,1.143,4.40,Springer Verlag,Germany,14363798
2,167,ENERGY & FUELS,Nature Reviews Materials ,Nat. Rev. Mater.,Journal,"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)",131,8,23.876,41.92,Nature Publishing Group,United Kingdom,20588437
3,168,THEORETICAL AND APPLIED CLIMATOLOGY,Theoretical and Applied Climatology ,Theor. Appl. Climatol.,Journal,Atmospheric Science (Q2),102,6004,0.775,3.33,Springer-Verlag Wien,Austria,"14344483, 0177798X"
4,169,CURRENT SCIENCE,Current HIV/AIDS Reports ,Curr. HIV/AIDS Rep.,Journal,Infectious Diseases (Q1); Virology (Q1),62,1140,2.103,4.92,"Current Science, Inc.",United States,"15483568, 15483576"
5,170,ACTA MECHANICA SINICA,Acta Mechanica Sinica/Lixue Xuebao ,Acta Mech. Sin./Lixue Xuebao,Journal,Computational Mechanics (Q2); Mechanical Engineering (Q2),51,8241,0.6,2.79,Springer Verlag,Germany,"16143116, 05677718"
6,171,WATER AIR AND SOIL POLLUTION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,172,REVISTA MEXICANA DE CIENCIAS GEOLOGICAS,Revista Mexicana de Ciencias Geologicas ,Rev. Mex. Cienc. Geol.,Journal,Geology (Q3),38,15744,0.271,0.95,Universidad Nacional Autonoma de Mexico,Mexico,10268774
8,173,INFRASTRUCTURES,Infrastructures ,Infrastructures,Journal,Building and Construction (Q2); Civil and Structural Engineering (Q2); Computer Science Applications (Q2); Geotechnical Engineering and Engineering Geology (Q2); Materials Science (miscellaneous) (Q2),17,9699,0.516,2.98,Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,24123811
9,174,INTERNATIONAL JOURNAL OF REMOTE SENSING,International Journal of Remote Sensing ,Int. J. Remote Sens.,Journal,Earth and Planetary Sciences (miscellaneous) (Q1),185,5028,0.873,3.58,Taylor and Francis Ltd.,United Kingdom,"13665901, 01431161"
10,175,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing ,IEEE J. Sel. Top. Appl. Earth Obs. Remote Sens.,Journal,Atmospheric Science (Q1); Computers in Earth Sciences (Q1),101,2570,1.335,4.63,Institute of Electrical and Electronics Engineers Inc.,United States,"21511535, 19391404"
11,176,GEOPHYSICAL RESEARCH LETTERS,Geophysical Research Letters ,Geophys. Res. Lett.,Journal,Earth and Planetary Sciences (miscellaneous) (Q1); Geophysics (Q1),291,1416,1.857,5.38,Wiley-Blackwell,United States,948276
12,177,ATMOSFERA,Atmosfera ,Atmosfera,Journal,Atmospheric Science (Q3),33,11980,0.404,1.77,Universidad Nacional Autonoma de Mexico,Mexico,1876236
13,178,WEATHER AND CLIMATE EXTREMES,Weather and Climate Extremes ,Weather Clim. Extrem.,Journal,"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)",43,1427,1.849,7.51,Elsevier BV,Netherlands,22120947
14,179,HYDROLOGICAL SCIENCES JOURNAL,Hydrological Sciences Journal ,Hydrol. Sci. J.,Journal,Water Science and Technology (Q1),106,4263,0.973,3.83,Taylor and Francis Ltd.,United Kingdom,2626667
15,180,BLUE-GREEN SYSTEMS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,181,JOURNAL OF WATER AND HEALTH,Journal of Water and Health ,J. Water Health,Journal,"Waste Management and Disposal (Q2); Water Science and Technology (Q2); Infectious Diseases (Q3); Microbiology (medical) (Q3); Public Health, Environmental and Occupational Health (Q3)",62,10506,0.475,2.25,IWA Publishing,United Kingdom,14778920
