,title,count
1,-1,89
8,Water Science and Technology,33
2,"Geography, Planning and Development",33
15,Civil and Structural Engineering,31
0,Earth and Planetary Sciences,28
17,Environmental Science,28
21,Atmospheric Science,19
34,"Management, Monitoring, Policy and Law",18
37,Computer Science Applications,14
6,Geotechnical Engineering and Engineering Geology,14
5,Geology,14
25,Environmental Chemistry,13
14,Building and Construction,13
16,"Safety, Risk, Reliability and Quality",13
32,Environmental Engineering,12
28,Global and Planetary Change,10
23,Mechanical Engineering,10
24,Earth-Surface Processes,10
12,"Renewable Energy, Sustainability and the Environment",9
4,Transportation,9
30,Medicine,9
42,Engineering,8
50,Software,8
54,Computers in Earth Sciences,8
26,Pollution,8
41,Ecology,8
20,Geophysics,7
81,Nature and Landscape Conservation,7
13,Computer Science,7
36,Electrical and Electronic Engineering,7
56,Urban Studies,6
58,Agricultural and Biological Sciences,6
44,Materials Science,6
27,Soil Science,5
97,Geochemistry and Petrology,5
78,Mechanics of Materials,5
40,Waste Management and Disposal,5
10,Energy Engineering and Power Technology,5
57,Automotive Engineering,4
53,Ecological Modeling,4
46,Applied Mathematics,4
43,"Atomic and Molecular Physics, and Optics",4
9,"Electronic, Optical and Magnetic Materials",4
73,Computer Networks and Communications,4
113,Physics and Astronomy,4
7,Safety Research,4
11,Fuel Technology,3
47,Industrial and Manufacturing Engineering,3
48,"Public Health, Environmental and Occupational Health",3
79,Hardware and Architecture,3
35,Multidisciplinary,3
87,Mathematics,3
31,Energy,3
109,Aquatic Science,3
82,Development,3
22,Space and Planetary Science,3
72,Artificial Intelligence,3
90,Forestry,3
86,Computational Theory and Mathematics,3
80,Food Science,2
83,Strategy and Management,2
85,Computational Mathematics,2
104,Computational Mechanics,2
88,Theoretical Computer Science,2
116,Architecture,2
89,Computer Vision and Pattern Recognition,2
106,Animal Science and Zoology,2
93,Human-Computer Interaction,2
96,Stratigraphy,2
107,Nursing,2
98,Agronomy and Crop Science,2
76,"Ecology, Evolution, Behavior and Systematics",2
102,Infectious Diseases,2
114,"Biochemistry, Genetics and Molecular Biology",2
61,Chemistry,2
49,"Business, Management and Accounting",2
39,Modeling and Simulation,2
70,Electrochemistry,2
52,Control and Systems Engineering,2
66,Economic Geology,2
55,Oceanography,2
18,Aerospace Engineering,2
19,Astronomy and Astrophysics,2
29,"Health, Toxicology and Mutagenesis",1
103,Virology,1
105,Microbiology,1
38,Information Systems and Management,1
33,Social Sciences,1
108,Hematology,1
112,Biochemistry,1
110,Anesthesiology and Pain Medicine,1
111,Neurology,1
101,"Surfaces, Coatings and Films",1
115,Pulmonary and Respiratory Medicine,1
3,Law,1
117,Fluid Flow and Transfer Processes,1
118,Computer Graphics and Computer-Aided Design,1
119,Arts and Humanities,1
120,Sociology and Political Science,1
45,Ocean Engineering,1
75,Decision Sciences,1
100,Materials Chemistry,1
63,"Economics, Econometrics and Finance",1
77,Pharmaceutical Science,1
71,Nanoscience and Nanotechnology,1
69,Biotechnology,1
68,Biophysics,1
67,Biomedical Engineering,1
84,Chemical Engineering,1
65,Spectroscopy,1
64,History,1
62,Conservation,1
99,Biomaterials,1
60,Archeology,1
59,Anthropology,1
91,"Tourism, Leisure and Hospitality Management",1
92,Information Systems,1
94,Management Science and Operations Research,1
95,Paleontology,1
51,Physiology,1
74,Signal Processing,1
121,Public Administration,1
