key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-389728302,Freight Resilience Measures,2012,11,1,Journal of Transportation Engineering,"0733-947X, 1943-5436",138,11,1403-1409,"Adams, Teresa M. and Bekkem, Kaushik R. and Toledo-Durán, Edwin J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884649862&doi=10.1061%2f%28ASCE%29TE.1943-5436.0000415&partnerID=40&md5=b53672267a544fb6ee331403132f40cd,en,,,"People, industries, and public agencies all face the possibility of sudden events that disrupt their normal activities. Disasters on the transportation network, whether attributable to nature, human error, or human intent, raise awareness of the need for plans of action to quickly restore mobility. Resilience of the transportation network is the capacity to absorb the effects of a disruption and to quickly return to normal operating levels. Resilience measures are useful to evaluate and predict disruptions and recovery and to guide infrastructure investments that protect against those disruptions or that accelerate recovery after a disruption. This paper presents a methodology for estimating two composite resilience measures-reduction and recovery. The method is illustrated by using resilience triangles derived from sampled truck speeds and counts along the Interstate 90/94 corridor from Hudson to Beloit, Wisconsin during two significant weather events in 2008. This paper presents a set of criteria, on the basis of observed effects on various sections of the highway corridor, to qualify the computed resilience measures. In this paper, the focus is on generalizing the characteristics of the resilience response rather than characteristics of the corridor sections that lead to patterns of the response for each section. The criteria and the measures together are a useful tool to evaluate resilience. DOI: 10.1061/(ASCE)TE.1943-5436.0000415. (C) 2012 American Society of Civil Engineers.","<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: index,freight,m:count,resilience | USER-NOTES: {""Xuhui""=>[""two composite resilience measures-reduction and recovery, resilience triangles and trucks counts"", ""方法：计数法\n描述：直接算路上的车辆速度和车辆数目\n目的：计算resilience的降低和恢复""]}",10.1061/(ASCE)TE.1943-5436.0000415,disaster;Disasters;freight transport;Freight transportation;Global positioning system;Global positioning systems;GPS;Infrastructure investment;investment;Investments;Operating levels;performance assessment;Performance characteristics;Performance measure;Performance measures;Plans of actions;Public agencies;Recovery;Resilience;transportation infrastructure;Transportation network,,
rayyan-389728303,Integration of stress testing with graph theory to assess the resilience of urban road networks under seismic hazards,2018,3,1,Natural Hazards,"0921-030X, 1573-0840",91,1,37-68,"Aydin, Nazli Yonca and Duzgun, H. Sebnem and Wenzel, Friedemann and Heinimann, Hans Rudolf",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046667599&doi=10.1007%2fs11069-017-3112-z&partnerID=40&md5=93a58ffa067ce0397a4b3e2457d4c9fb,en,,,"Transportation networks daily provide accessibility and crucial services to societies. However, they must also maintain an acceptable level of service to critical infrastructures in the case of disruptions, especially during natural disasters. We have developed a method for assessing the resilience of transportation network topology when exposed to environmental hazards. This approach integrates graph theory with stress testing methodology and involves five basic steps: (1) establishment of a scenario set that covers a range of seismic damage potential in the network, (2) assessment of resilience using various graph-based metrics, (3) topology-based simulations, (4) evaluation of changes in graph-based metrics, and (5) examination of resilience in terms of spatial distribution of critical nodes and the entire network topology. Our case study was from the city of Kathmandu in Nepal, where the earthquake on April 25, 2015, followed by a major aftershock on May 12, 2015, led to numerous casualties and caused significant damage. Therefore, it is a good example for demonstrating and validating the developed methodology. The results presented here indicate that the proposed approach is quite efficient and accurate in assisting stakeholders when evaluating the resilience of transportation networks based on their topology. © Springer Science+Business Media B.V.","<p>Export Date: 19 November 2022</p>
<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,network,resilience,m:network metrics | USER-NOTES: {""Xuhui""=>[""use graph-based metrics to evaluate resilence"", ""方法：基础网络指标法\n描述：直接拿图用指标算，灾害前后的变化\n目的：计算网络的resilience""]}",10.1007/s11069-017-3112-z,aftershock;assessment method;Bagmati;Disaster resilience;Earthquake;environmental stress;Graph theory;Kathmandu;natural hazard;Nepal;Resilience;Resilience assessment;road;Road network;seismic hazard;Stress testing;testing method;transportation infrastructure;Transportation infrastructure;urban area;Exercise Test,,
rayyan-389728304,Modelling intra-dependencies to assess road network resilience to natural hazards,2020,8,,Natural Hazards,"0921-030X, 1573-0840",103,1,121-137,"Der Sarkissian, Rita and Abdallah, Chadi and Zaninetti, Jean-Marc and Najem, Sara",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084323373&doi=10.1007%2fs11069-020-03962-5&partnerID=40&md5=3e390e235b87c72ab6f2b223a537ecdd,en,,,"Estimating the resilience of a road network (one of the essential critical infrastructures in times of crisis) to natural hazards is crucial in achieving the goals of disaster risk reduction (DRR). This study proposes a new predictive method to implement, in an operational way, the concept of resilience by exploring the robustness of the road network in Baalbek-Hermel Governorate (Lebanon) in order to predict its future behavior in response to natural hazards occurrence. The proposed methodology consists of a predictive-spatial-analytic approach based on geospatial numerical models combined with an R-NetSwan function for modeling and simulating critical infrastructures. The results show that Baalbek-Hermel’s road network is moderately resilient since it reaches a total loss of connectivity when nearly 60% of its critical nodes are blocked or damaged. Earthquakes proved to be the most disruptive hazards of this network, threatening the connectivity, starting its first damaged nodes, and causing the highest percentages of connectivity loss (70%). The novelty of this method lies in utilizing network analysis to reveal roads resilience to different natural hazards and serve several operational targets: revealing the defects of the road network for improvement or the construction of new detours, as well as allowing the first aid services to better visualize these weaknesses and to better prepare themselves. This study facilitates the implementation of a proactive approach to DRR and the protection of CI networks for better crisis response and much more effective evacuation plans. © 2020, Springer Nature B.V.","<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,network,robustness,m:connectivity | USER-NOTES: {""Xuhui""=>[""use the loss of connectivity to evaluate resilience"", ""方法：最大连通集\n描述：基于渗流的思路，计算不同节点堵塞情况下的连通集大小\n目的：计算网络的resilience 和 robustness""]}",10.1007/s11069-020-03962-5,Baalbek-Hermel;conceptual framework;Critical infrastructure (CI);disaster management;Disaster risk reduction (DRR);future prospect;GIS;hazard assessment;Lebanon;modeling;natural hazard;Natural hazards;network analysis;Network analysis;R-NetSwan;Resilience;road,,
rayyan-389728305,Flood Impact Assessments on Transportation Networks: A Review of Methods and Associated Temporal and Spatial Scales,2021,9,21,Frontiers in Sustainable Cities,2624-9634,3,,732181,"Rebally, Aditya and Valeo, Caterina and He, Jianxun and Saidi, Saeid",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123104692&doi=10.3389%2ffrsc.2021.732181&partnerID=40&md5=7cab7ddf47d7da553449c422c4ba25c6,en,,,"A region's transportation sector is vital to its economic and social health. Transportation systems are also influenced by climate change directly and indirectly and on a variety of spatial and temporal scales. Under a changing climate, many regions around the globe and especially in urban areas, have experienced increases in flood intensity and frequency in recent decades. Flooding can strain transportation networks in both the short- and long-term through transportation delays, infrastructure damage, and recovery, and potentially affect economies. The present article is a review of how flooding impacts transportation networks in both short- and long-term timescales and their subsequent impact on resiliency of the network. Firstly, flood effects are classified based on the connections between the type of flooding and the type of impact (either direct or indirect) on the transportation system. An analysis of the assessment methods and the transport models used to formulate flood effects on the transportation system is provided, as well as the drawbacks from the context of timescales, and recommendations for future research. The analysis indicates that the majority of the articles assess the direct and tangible impacts with focus on the resilience of the transportation network in short- and medium-term temporal scales and at smaller spatial scales. There is less emphasis on indirect, intangible flood impacts, and long-term temporal scales. Copyright © 2021 Rebally, Valeo, He and Saidi.","<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: time,impact,review",10.3389/frsc.2021.732181,flood impact assessment;resiliency;spatial scales;temporal scales;transportation network,,
rayyan-389728306,A systematic review of the resilience of transportation infrastructures affected by flooding,2018,,,2018 ASIA-PACIFIC CONFERENCE ON INTELLIGENT MEDICAL (APCIM) / 2018 7TH INTERNATIONAL CONFERENCE ON TRANSPORTATION AND TRAFFIC ENGINEERING (ICTTE 2018),978-1-4503-6604-5,,,176-182,"Tachaudomdach, Suchat and Arunotayanun, Kriangkrai and Upayokin, Auttawit",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066787169&doi=10.1145%2f3321619.3321668&partnerID=40&md5=4771f3e1273eed08d9e2d312cb0a7417,en,ACM Press,,"The purpose of this study is to systematically review the assessment methods found in the existing literature for measuring the resilience of transportation infrastructures affected by flooding. Based on the electronic databases searched from October 1st, 1998 to September 1st, 2018, eligible studies were those that provided the indicators involved in the measurement of transportation infrastructure resilience in the event of natural disasters with a focus on flooding. As a result of 1038 relevant publications, it is apparent that the resilience assessment indicators used in the literature can be categorized into two dimensions and ten principles. The dimensions include technical and organizational dimensions. The principles of resilience consist of robustness, redundancy, safe-tofail, change-readiness, networks, leadership and culture, preparedness, rapid recovery, absorbing externally-induced changes and cost-effectiveness. Such findings are therefore beneficial for government agencies and emergency managers who can use these dimensions and principles to measure the resilience of transportation systems and to assess the contingency plans for transportation management. © 2018 Association for Computing Machinery.","<p>Export Date: 21 November 2022</p>
<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: index,review,resilience | USER-NOTES: {""Xuhui""=>[""The dimensions include technical and organizational dimensions. The principles of resilience consist of robustness, redundancy, safe-tofail, change-readiness, networks, leadership and culture, preparedness, rapid recovery, absorbing externally-induced changes and cost-effectiveness""]}",10.1145/3321619.3321668,Assessment indicator;Cost effectiveness;Disasters;Electronic database;Flooding;Floods;Government agencies;Highway engineering;Natural disasters;Natural Disasters;Oil well flooding;Organizational dimensions;Resilience Measurement;Transportation Infrastructure;Transportation infrastructures;Transportation management;Transportation system,,
rayyan-389728307,"Evaluating impacts of coastal flooding on the transportation system using an activity-based travel demand model: a case study in Miami-Dade County, FL",2022,2,,Transportation,"0049-4488, 1572-9435",49,1,163-184,"Han, Yu and Chen, Changjie and Peng, Zhong-Ren and Mozumder, Pallab",https://link.springer.com/10.1007/s11116-021-10172-w,en,,,"Recent climatic disasters have shown the vulnerability of transportation infrastructures against natural hazards. To understand the risk of coastal hazards on urban travel activities, this study presents an activity-based modeling approach to evaluate the impacts of storm surge on the transportation network under sea-level rise in Miami-Dade County, FL. A Markov-Chain Monte Carlo (MCMC) based algorithm is applied to generate population attributes and travel diaries in the model simulation. Flooding scenarios in 2045 are developed based on different adaptation standards under the 100-year storm surge and population projections are from the land-use conflict identification strategy (LUCIS) model. Our analysis indicates that about 29.3% of the transportation infrastructure, including areas of the US No. 1 highway, roadways in the south and southwest of the county, and bridges connecting Miami Beach area, will be damaged under the storm surge when a low-level adaptation standard is chosen. However, the high-level adaptation standard will reduce the vulnerable infrastructures to 12.4%. Furthermore, the total increased travel time of the low-level adaptation standard could be as high as twice of that in the high-level adaptation standard during peak morning hours. Our model results also reveal that the average increased travel time due to future storm surge damage ranges between 14.2 and 62.8 min per trip.","RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,m:ABM,commuter,vulnerability | USER-NOTES: {""Xuhui""=>[""raise the indicator to analyse transportation vulnerability, travel time"", ""方法：ABM\n描述：基于ABM模型，计算灾害前后的出行时间变化\n目的：计算网络的vulnerability""]}",10.1007/s11116-021-10172-w,ABM;Travel,,
rayyan-389728308,Assessing and visualising hazard impacts to enhance the resilience of Critical Infrastructures to urban flooding,2020,3,10,Science of The Total Environment,0048-9697,707,,136078,"Vamvakeridou-Lyroudia, L. S. and Chen, A. S. and Khoury, M. and Gibson, M. J. and Kostaridis, A. and Stewart, D. and Wood, M. and Djordjevic, S. and Savic, D. A.",https://www.sciencedirect.com/science/article/pii/S0048969719360747,en,,,"The design, construction and maintenance of Critical Infrastructures (CI) is commonly based on standards that are rigorous, so as to withstand any climate or weather-linked pressures. However, due to climate change, climate characteristics may shift, resulting in increased frequency/magnitude of potential failures, or exposure to new unknown risks. As vital components for the normal functioning of modern societies, the resilience of CIs under climate stressors encompasses their structural integrity, their operational elements, and their capacity to maximize business output. In this work, we propose an integrated and participatory methodological approach to enhance the resilience of interconnected CIs to urban flooding under climate change, by assessing the risk and introducing adaptation measures.     The main objectives of the proposed methodology and approach are: (i) to provide scientific evidence for better understanding of how future climate regimes might affect normal operation of interconnected CI in urban areas during their lifespan; (ii) to assess the cost-effectiveness of different adaptation measures; (iii) to involve local stakeholders and operators in the co-design of the approach, as well as the assessment and the evaluation of adaptation measures; (iv) to combine computational modelling with advanced 3D visualisation techniques for effectively engaging stakeholders in decision making; (v) to include risk assessment and damage functions co-designed by end-users and local stakeholders; (vi) to integrate all of the aforementioned components in a specifically designed cloud platform as a Decision Support System for end-users, (vii) to validate the DSS by the end users and local stakeholders.     The paper presents the computational background and tools. Additionally, it describes a Case Study in Torbay, UK, where the full methodology and the proposed participatory approach have been applied, with all the specifics, i.e., the scenarios of extreme flooding, the numerical and visualisation results, the response of the stakeholders and the evaluation of selected adaptation measures. (C) 2019 Published by Elsevier B.V.","<p>Export Date: 19 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: impact,m:cost,resilience | USER-NOTES: {""Xuhui""=>[""more focus on risk analysis"", ""方法：成本法\n描述：通过洪水模拟模型，估算损失成本\n目的：计算洪水的影响""]}",10.1016/j.scitotenv.2019.136078,3D modeling;article;Artificial intelligence;assessment method;Binary alloys;case report;climate change;Climate change;Climate characteristics;clinical article;Computational modelling;computer model;Cost effectiveness;cost effectiveness analysis;Critical infrastructures;Damage detection;Decision making;decision support system;Decision support systems;England;extreme event;Flood modelling;flooding;Floods;hazard assessment;Hazards;human;lifespan;Methodological approach;natural hazard;Natural hazard;Natural hazards;numerical model;Participatory approach;Petroleum reservoir evaluation;Potassium alloys;Public works;Resilience;risk assessment;Risk assessment;Scientific evidence;Torbay;United Kingdom;Uranium alloys;urban area;Visualisation;visualization;Visualization,,
rayyan-389728311,Modest flooding can trigger catastrophic road network collapse due to compound failure,2022,2,23,Communications Earth & Environment,2662-4435,3,1,1-10,"Dong, Shangjia and Gao, Xinyu and Mostafavi, Ali and Gao, Jianxi",https://www.nature.com/articles/s43247-022-00366-0,en,,,"Compound failures occur when urban flooding coincides with traffic congestion, and their impact on network connectivity is poorly understood. Firstly, either three-dimensional road networks or the traffic on the roads has been considered, but not both. Secondly, we lack network science frameworks to consider compound failures in infrastructure networks. Here we present a network-theory-based framework that bridges this gap by considering compound structural, functional, and topological failures. We analyze high-resolution traffic data using network percolation theory to study the response of the transportation network in Harris County, Texas, US to Hurricane Harvey in 2017. We find that 2.2% of flood-induced compound failure may lead to a reduction in the size of the largest cluster where network connectivity exists, the giant component, 17.7%. We conclude that indirect effects, such as changes in traffic patterns, must be accounted for when assessing the impacts of flooding on transportation network connectivity and functioning.     Flood impacts on the functioning of a transport network are substantially exacerbated by indirect effects such as congestion due to changing traffic patterns, suggests an analysis of the impact of Hurricane Harvey on transport in Harris County, Texas using network percolation theory.","RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,impact,network,vulnerability,m:connectivity | USER-NOTES: {""Xuhui""=>[""use the size of the largest cluster to evaluate the performance of road networks"", ""方法：最大连通集\n描述：基于渗流的思路，计算不同节点堵塞情况下的连通集大小\n目的：计算网络的resilience 和 robustness""]}",10.1038/s43247-022-00366-0,Environmental impact;Natural hazards,,
rayyan-389728312,The impact of flooding on road transport: A depth-disruption function,2017,8,1,Transportation Research Part D: Transport and Environment,1361-9209,55,,67-81,"Pregnolato, Maria and Ford, Alistair and Wilkinson, Sean M. and Dawson, Richard J.",https://www.sciencedirect.com/science/article/pii/S1361920916308367,en,,,"Transport networks underpin economic activity by enabling the movement of goods and people. During extreme weather events transport infrastructure can be directly or indirectly damaged, posing a threat to human safety, and causing significant disruption and associated economic and social impacts. Flooding, especially as a result of intense precipitation, is the predominant cause of weather-related disruption to the transport sector. Existing approaches to assess the disruptive impact of flooding on road transport fail to capture the interactions between floodwater and the transport system, typically assuming a road is fully operational or fully blocked, which is not supported by observations. In this paper we develop a relationship between depth of standing water and vehicle speed. The function that describes this relationship has been constructed by fitting a curve to video analysis supplemented by a range of quantitative data that has be extracted from existing studies and other safety literature. The proposed relationship is a good fit to the observed data, with an R-squared of 0.95. The significance of this work is that it is simple to incorporate our function into existing transport models to produce better estimates of flood induced delays and we demonstrate this with an example from the 28th June 2012 flood in Newcastle upon Tyne, UK. (C) 2017 The Authors. Published by Elsevier Ltd.","RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: road,impact,m:waterDepth | USER-NOTES: {""Xuhui""=>[""create a depth-disruption function for road network during flooding period"", ""方法：水深法\n描述：计算积水深度对车速的影响\n目的：计算洪水影响""]}",10.1016/j.trd.2017.06.020,Flooding;Impact;Network;Transport,,
rayyan-389728313,A multi-step assessment framework for optimization of flood mitigation strategies in transportation networks,2021,9,1,International Journal of Disaster Risk Reduction,2212-4209,63,,102439,"Zhang, Ning and Alipour, Alice",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110122416&doi=10.1016%2fj.ijdrr.2021.102439&partnerID=40&md5=57143dc4e5f0c25a5fa78e5768714197,en,,,"Floods can lead to substantial direct damages to transportation infrastructure assets and cause significant indirect losses to communities that rely on the transportation network. This makes it crucial to understand the network's functional and operational deterioration caused by floods to help transportation agencies to either mitigate or plan for consequences of failures. To achieve this goal, this study uses an actual segment of a transportation network as a testbed to develop a network-level multi-step assessment framework to evaluate the flood-related risks and implement specific flood mitigation measures to the testbed. The multi-step framework first accomplishes assessments of the investment of pre-flood mitigation strategies, post-flood asset recovery cost, and indirect post-flood traffic delay and opportunity losses of the network. Then, a life-cycle benefit to cost analysis is applied to estimate the performance of the various flood mitigation strategies. This systematic effort is expected to provide a holistic overview of the flood risk to the network and a conservation-oriented means for optimizing and prioritizing mitigation investments while ensuring that the system resilience is sufficiently improved with respect to capability for absorbing flood hazards and adapting to partially-dysfunctional network operations during floods. © 2021 Elsevier Ltd","<p>Export Date: 21 November 2022</p>
<p>Export Date: 21 November 2022</p> | RAYYAN-INCLUSION: {""Xuhui""=>""Included""} | RAYYAN-LABELS: impact,m:cost,strategy,resilience | USER-NOTES: {""Xuhui""=>[""focus on the cost of different strategies, so implementing different combinations of strategies could improve resilience or network"", ""方法：成本法\n描述：计算不同策略的成本，用\n目的：对比不同防洪策略的成本费用""]}",10.1016/j.ijdrr.2021.102439,Benefit to cost analysis;Flood hazard assessment;Flood mitigation;Transportation system,,
